Company Name,Structure,Type,Technical,Safety,Environmental,Societal,Cost,Weight,Size,Diameter,Length ,Metal,Plastic,Concrete,Residues,Position,Decision
Spirit Energy North Sea Limited,PL948,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,17.6,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Spirit Energy North Sea Limited,PL2165,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.165,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Spirit Energy North Sea Limited,PL2067,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.5,13.4,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Spirit Energy North Sea Limited,PL2067JW12,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,0.088,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Spirit Energy North Sea Limited,PL2067JWAB2,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,0.198,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Spirit Energy North Sea Limited,PL497,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,16.96,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Spirit Energy North Sea Limited,PL575,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,8,0.492,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Spirit Energy North Sea Limited,PL576,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.65,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Spirit Energy North Sea Limited,PL993,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.058,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Spirit Energy North Sea Limited,PL993,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.093,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Spirit Energy North Sea Limited,PL993,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,2.347,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Spirit Energy North Sea Limited,PL993,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,3.127,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Spirit Energy North Sea Limited,PL993,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.052,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL735A,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,8,0.234,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL735A,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,10,6600,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL746,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6,0.025,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL747,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6,0.025,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL748,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6,0.025,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL749,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6,0.025,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL735,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,8,0.055,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL735,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,8,0.055,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL736,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.65,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL736,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,5,6.7,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Fairfield Fagus Limited,PL736,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,5,0.891,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL1545,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,6.4,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Fairfield Fagus Limited,PL754,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.054,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL755,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.12,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL756,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.092,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PWA 4/W/90,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.092,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL757,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.032,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL758,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.042,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PWA 4/W/90,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.042,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL759,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.069,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL760,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.12,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL761,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.135,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL737,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3001JWP1,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.024,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3001JWP2,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.024,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3001JWP3,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.033,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3001JWP4,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.033,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3001JWP4A,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.033,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3001JWP5,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.047,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3001JWP6,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.047,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3001JWP7,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.024,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3960-PL3966,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.08,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3967-PL3973,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.094,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3974-PL3980,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.066,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL3981-PL3987,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.032,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL1665,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,8,7.138,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Fairfield Fagus Limited,PL1557,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,6.95,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Fairfield Fagus Limited,PL1556,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.46,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL1667,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
Fairfield Fagus Limited,PL2804JP11,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.5,0.025,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
ConocoPhillips (U.K.) Limited,PL132,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,4.023,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
ConocoPhillips (U.K.) Limited,PL131,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,4.148,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
ConocoPhillips (U.K.) Limited,PL133,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,12.875,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
ConocoPhillips (U.K.) Limited,PL66,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,5.1,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
ConocoPhillips (U.K.) Limited,PL130,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,5.592,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Nexen Petroleum UK Limited,PL2446,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,12.05511811,1.65,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Nexen Petroleum UK Limited,PL2446JI5,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6.625984252,0.04,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Nexen Petroleum UK Limited,PL2446JI2,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,12.05511811,4.16,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Nexen Petroleum UK Limited,PL2919,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,10.43700787,6.7,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Maersk Oil UK Limited,PL1657.1,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,7,0.065,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1657.2,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,7,0.091,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1657.3,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,7,0.021,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1657.4,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,7,0.036,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1657.5,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,7,0.085,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.4,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.7,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.9,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.2,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.5,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.13,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.5,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.3,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.1,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.6,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.14,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.25,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.8,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.15,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Maersk Oil UK Limited,PL1658.10,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
